I0
-1.03
0.29
-1.61
-1.26
-0.86
-0.02
-0.54
-1.00
1.39
-1.67
0.07
-0.09
0.85
0.65
0.01
-0.96
-0.93
-1.11
0.52
-1.21
0.47
-1.12
-0.72
-0.41
0.44
0.53
1.03
1.08
0.57
0.65
-0.09
1.15
-0.91
1.59
0.04
-1.53
0.18
0.64
-1.47
1.21
-0.64
0.56
-1.55
-1.64
1.05
0.84
0.27
0.27
0.56
0.56
0.92
0.62
0.75
-1.00
0.84
-0.17
-1.18
0.90
-1.33
1.26
-1.01
-0.01
-1.04
-0.34
-1.47
-0.36
-1.60
0.06
-0.74
-1.34
-1.62
-1.10
1.17
-0.93
1.38
0.44
0.63
0.44
0.85
1.41
-1.09
0.70
0.95
1.23
0.51
-1.62
-1.03
0.29
-1.61
-1.26
-0.86
-0.02
-0.54
-1.00
1.39
-1.67
0.07
-0.09
0.85
0.65
0.01
-0.96
-0.93
-1.11
0.52
-1.21
0.47
-1.12
-0.72
-0.41
0.44
0.53
1.03
1.08
0.57
0.65
-0.09
1.15
-0.91
1.59
0.04
-1.53
0.18
0.64
-1.47
1.21
-0.64
0.56
-1.55
-1.64
1.05
0.84
0.27
0.27
0.56
0.56
0.92
0.62
0.75
-1.00
0.84
-0.17
-1.18
0.90
-1.33
1.26
-1.01
-0.01
-1.04
-0.34
-1.47
-0.36
-1.60
0.06
-0.74
-1.34
-1.62
-1.10
1.17
-0.93
1.38
0.44
0.63
0.44
0.85
1.41
-1.09
0.70
0.95
1.23
0.51
-1.62
1.65
0.28
-0.05
-0.50
-0.88
-1.31
0.65
1.24
-1.35
-0.42
-0.58
0.90
0.95
0.61
0.20
1.14
0.76
0.75
0.57
-0.36
1.21
0.66
0.89
1.37
26.00
26.00
26.00
26.00
26.00
26.00
26.00
26.06
26.06
26.00
26.06
26.00
26.00
26.00
26.06
26.00
26.06
26.06
26.06
26.06
26.06
26.06
26.06
26.06
26.06
26.06
26.00
26.06
26.06
26.06
26.13
26.06
26.13
26.13
26.13
26.13
26.13
26.13
26.13
26.13
26.13
26.13
26.13
26.13
26.19
26.19
26.13
26.19
26.19
26.13
26.19
0.00
26.19
26.19
26.25
26.19
26.19
26.25
26.25
26.19
26.19
26.19
26.25
26.25
26.19
26.25
26.25
26.25
26.25
26.25
26.25
26.25
26.25
26.25
26.19
26.25
26.25
26.25
26.25
26.31
26.31
26.31
26.25
26.25
26.31
26.25
26.25
26.25
26.25
26.25
26.25
26.31
26.31
26.31
26.31
26.31
26.25
26.31
26.31
26.31
26.38
26.38
26.44
26.50
26.56
26.75
26.88
27.00
27.06
27.25
27.44
27.63
27.88
28.06
28.31
28.44
28.75
28.94
29.19
29.44
29.69
29.94
30.25
30.50
30.81
31.13
31.38
31.69
32.06
32.31
32.56
32.94
33.25
33.56
33.88
34.19
34.50
34.81
35.13
35.50
35.81
36.13
36.50
36.81
37.06
37.38
37.75
38.06
38.38
38.69
39.00
39.31
39.63
39.94
40.25
40.56
40.81
41.13
41.38
41.69
42.00
42.31
42.56
42.88
43.13
43.38
43.75
43.94
44.25
44.50
44.75
45.06
45.31
45.63
45.81
46.06
46.38
46.63
46.88
47.19
